p01,p1,p100,p100n,p1n
-4.217173475,-4.449693622,-4.449693622,-4.808703026,-5.012726282
2.129695833,2.001815729,2.001815729,2.514252074,2.095719767
2.291095848,3.202078907,3.202078907,-0.704301705,3.540725436
-5.749464984,-5.040371628,-5.040371628,-8.398093279,-5.324587551
-1.505577862,-1.882563107,-1.882563107,0.070272873,-2.108553943
5.422963167,4.017745702,4.017745702,8.899752504,3.957979021
10.91724742,10.26174795,10.26174795,13.39129423,9.760088102
-2.730573416,-3.80129218,-3.80129218,0.16705617,-4.196175132
12.88610697,10.60438755,10.60438755,16.70429985,9.938802387
10.32664198,6.988823203,6.988823203,19.56583078,6.688339942
5.094741305,3.020530787,3.020530787,10.80716806,2.643232689
9.110171189,7.565196928,7.565196928,10.69527465,7.210335747
13.50359249,13.55758657,13.55758657,12.34268115,15.74366975
21.9195732,22.0683769,22.0683769,20.81992539,24.27939586
22.30599135,22.60332374,22.60332374,21.16594983,24.85508802
-10.99137608,-10.79046679,-10.79046679,-9.723282457,-12.20477992
-10.85115612,-11.26003259,-11.26003259,-10.27706135,-14.0397525
-14.68877239,-15.27904937,-15.27904937,-12.66218131,-18.19932023
-23.09254174,-23.70546657,-23.70546657,-21.14339824,-26.71991487
-24.35159059,-25.00320669,-25.00320669,-22.67591064,-28.09874005
12.0030436,12.38590708,12.38590708,9.493898467,13.62166043
12.65423561,13.57814621,13.57814621,10.38622987,15.88183932
