p01,p1,p100
-4.217173475,-5.012726282,-4.449693622
2.129695833,2.095719767,2.001815729
2.291095848,3.540725436,3.202078907
-5.749464984,-5.324587551,-5.040371628
-1.505577862,-2.108553943,-1.882563107
5.422963167,3.957979021,4.017745702
10.91724742,9.760088102,10.26174795
-2.730573416,-4.196175132,-3.80129218
12.88610697,9.938802387,10.60438755
10.32664198,6.688339942,6.988823203
5.094741305,2.643232689,3.020530787
9.110171189,7.210335747,7.565196928
13.50359249,15.74366975,13.55758657
21.9195732,24.27939586,22.0683769
22.30599135,24.85508802,22.60332374
-10.99137608,-12.20477992,-10.79046679
-10.85115612,-14.0397525,-11.26003259
-14.68877239,-18.19932023,-15.27904937
-23.09254174,-26.71991487,-23.70546657
-24.35159059,-28.09874005,-25.00320669
12.0030436,13.62166043,12.38590708
12.65423561,15.88183932,13.57814621
