"","V1"
"1",-0.518029285032968
"2",-0.0142882353157572
"3",0.482867503364176
"4",-0.0933063133708026
"5",0.053118293159056
"6",0.0374574661941468
"7",-0.0105616962760979
"8",-0.0000180992750111703
"9",-0.443524146805856
"10",0.0500571113935459
"11",-0.119714016843329
"12",-0.194862269646834
"13",2.40058994515979
"14",1.40278306319891
"15",0.918769297536219
"16",0.975316697192339
"17",1.76540187249044
"18",2.66925844479726
"19",2.14885306709163
"20",0.98555010745466
"21",0.942002335618297
"22",2.14724470768495
